YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,1,AK,Total Electric Power Industry,Coal (Short Tons),"47,615"
2001,1,AK,Total Electric Power Industry,Petroleum (Barrels),"124,998"
2001,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"3,941,267"
2001,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,535"
2001,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"114,198"
2001,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,189,447"
2001,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"22,890"
2001,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),550
2001,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"8,190"
2001,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,590"
2001,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,660"
2001,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"751,820"
2001,1,AL,Total Electric Power Industry,Coal (Short Tons),"3,020,601"
2001,1,AL,Total Electric Power Industry,Petroleum (Barrels),"284,241"
2001,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"5,213,844"
2001,1,AL,Total Electric Power Industry,Other Gases (Billion BTU),357
2001,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,987,681"
2001,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"174,121"
2001,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,677,044"
2001,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2001,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"13,320"
2001,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"3,110"
2001,1,AL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),50
