,State_Code,Period,Price,Year,Month,state,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION,T10Y2Y,Inflation Rate (%),Industrial Production Index,temperature (F),Electricity Price ($ per million BTU),OPEC supply (1000 b/d)
0,F001242__3,2001-01-01,28.02,2001,1,PA,Total Electric Power Industry,Petroleum (Barrels),1005652,,2.82617111885407,91.902,28.0,11.26,6111
1,F001242__3,2001-02-01,28.52,2001,2,PA,Total Electric Power Industry,Petroleum (Barrels),196117,0.55,2.82617111885407,91.3034,30.9,11.26,6111
2,F001242__3,2001-03-01,26.2,2001,3,PA,Total Electric Power Industry,Petroleum (Barrels),478840,0.46,2.82617111885407,91.1162,35.3,11.26,6111
3,F001242__3,2001-04-01,26.31,2001,4,PA,Total Electric Power Industry,Petroleum (Barrels),960097,0.76,2.82617111885407,90.7891,47.5,11.26,6111
4,F001242__3,2001-05-01,27.43,2001,5,PA,Total Electric Power Industry,Petroleum (Barrels),524322,1.07,2.82617111885407,90.3555,58.9,11.26,6111
5,F001242__3,2001-06-01,26.47,2001,6,PA,Total Electric Power Industry,Petroleum (Barrels),844047,1.17,2.82617111885407,89.8784,68.9,11.26,6111
6,F001242__3,2001-07-01,25.18,2001,7,PA,Total Electric Power Industry,Petroleum (Barrels),746634,1.16,2.82617111885407,89.3028,68.2,11.26,6111
7,F001242__3,2001-08-01,26.04,2001,8,PA,Total Electric Power Industry,Petroleum (Barrels),1052506,1.28,2.82617111885407,89.2003,72.7,11.26,6111
8,F001242__3,2001-09-01,25.23,2001,9,PA,Total Electric Power Industry,Petroleum (Barrels),212196,,2.82617111885407,88.7485,63.6,11.26,6111
9,F001242__3,2001-10-01,21.32,2001,10,PA,Total Electric Power Industry,Petroleum (Barrels),244361,1.73,2.82617111885407,88.5052,53.6,11.26,6111
10,F001242__3,2001-11-01,18.83,2001,11,PA,Total Electric Power Industry,Petroleum (Barrels),181111,1.75,2.82617111885407,87.97,46.9,11.26,6111
11,F001242__3,2001-12-01,18.4,2001,12,PA,Total Electric Power Industry,Petroleum (Barrels),309043,1.93,2.82617111885407,87.9324,38.6,11.26,6111
12,F001242__3,2002-01-01,18.8,2002,1,PA,Total Electric Power Industry,Petroleum (Barrels),189261,,1.58603162650601,88.5176,34.7,10.81,6214
13,F001242__3,2002-02-01,19.84,2002,2,PA,Total Electric Power Industry,Petroleum (Barrels),196071,1.94,1.58603162650601,88.5278,34.9,10.81,6214
14,F001242__3,2002-03-01,23.06,2002,3,PA,Total Electric Power Industry,Petroleum (Barrels),401416,1.8,1.58603162650601,89.1686,39.3,10.81,6214
15,F001242__3,2002-04-01,24.99,2002,4,PA,Total Electric Power Industry,Petroleum (Barrels),369634,1.7,1.58603162650601,89.604,50.0,10.81,6214
16,F001242__3,2002-05-01,25.9,2002,5,PA,Total Electric Power Industry,Petroleum (Barrels),171498,1.87,1.58603162650601,89.964,55.3,10.81,6214
17,F001242__3,2002-06-01,24.39,2002,6,PA,Total Electric Power Industry,Petroleum (Barrels),610785,1.87,1.58603162650601,90.7061,64.6,10.81,6214
18,F001242__3,2002-07-01,25.76,2002,7,PA,Total Electric Power Industry,Petroleum (Barrels),1043824,1.97,1.58603162650601,90.6769,72.5,10.81,6214
19,F001242__3,2002-08-01,26.82,2002,8,PA,Total Electric Power Industry,Petroleum (Barrels),791909,2.32,1.58603162650601,90.5762,72.6,10.81,6214
20,F001242__3,2002-09-01,27.86,2002,9,PA,Total Electric Power Industry,Petroleum (Barrels),415036,,1.58603162650601,90.6531,65.6,10.81,6214
21,F001242__3,2002-10-01,27.57,2002,10,PA,Total Electric Power Industry,Petroleum (Barrels),366706,1.92,1.58603162650601,90.4643,51.1,10.81,6214
22,F001242__3,2002-11-01,24.8,2002,11,PA,Total Electric Power Industry,Petroleum (Barrels),199817,2.25,1.58603162650601,90.9711,41.7,10.81,6214
23,F001242__3,2002-12-01,27.62,2002,12,PA,Total Electric Power Industry,Petroleum (Barrels),679095,2.15,1.58603162650601,90.4652,31.8,10.81,6214
24,F001242__3,2003-01-01,30.54,2003,1,PA,Total Electric Power Industry,Petroleum (Barrels),1401466,,2.27009497336115,91.2361,23.5,11.81,6176
25,F001242__3,2003-02-01,33.52,2003,2,PA,Total Electric Power Industry,Petroleum (Barrels),1399313,2.29,2.27009497336115,91.3445,25.2,11.81,6176
26,F001242__3,2003-03-01,32.26,2003,3,PA,Total Electric Power Industry,Petroleum (Barrels),972076,2.16,2.27009497336115,91.1044,36.8,11.81,6176
27,F001242__3,2003-04-01,27.47,2003,4,PA,Total Electric Power Industry,Petroleum (Barrels),684861,2.34,2.27009497336115,90.5617,44.2,11.81,6176
28,F001242__3,2003-05-01,27.93,2003,5,PA,Total Electric Power Industry,Petroleum (Barrels),313335,2.38,2.27009497336115,90.537,54.0,11.81,6176
29,F001242__3,2003-06-01,29.47,2003,6,PA,Total Electric Power Industry,Petroleum (Barrels),641031,2.1,2.27009497336115,90.6527,64.2,11.81,6176
30,F001242__3,2003-07-01,29.4,2003,7,PA,Total Electric Power Industry,Petroleum (Barrels),882450,2.26,2.27009497336115,91.1185,71.7,11.81,6176
31,F001242__3,2003-08-01,29.57,2003,8,PA,Total Electric Power Industry,Petroleum (Barrels),963405,2.59,2.27009497336115,90.9197,73.0,11.81,6176
32,F001242__3,2003-09-01,27.71,2003,9,PA,Total Electric Power Industry,Petroleum (Barrels),391686,,2.27009497336115,91.5059,64.6,11.81,6176
33,F001242__3,2003-10-01,28.88,2003,10,PA,Total Electric Power Industry,Petroleum (Barrels),267740,2.49,2.27009497336115,91.6186,50.7,11.81,6176
34,F001242__3,2003-11-01,29.52,2003,11,PA,Total Electric Power Industry,Petroleum (Barrels),217751,2.5,2.27009497336115,92.2329,45.2,11.81,6176
35,F001242__3,2003-12-01,30.36,2003,12,PA,Total Electric Power Industry,Petroleum (Barrels),710148,2.28,2.27009497336115,92.2602,34.7,11.81,6176
36,F001242__3,2004-01-01,31.78,2004,1,PA,Total Electric Power Industry,Petroleum (Barrels),1623367,,2.67723669309172,92.4006,20.2,13.13,6283
37,F001242__3,2004-02-01,32.19,2004,2,PA,Total Electric Power Industry,Petroleum (Barrels),476759,2.35,2.67723669309172,92.958,30.9,13.13,6283
38,F001242__3,2004-03-01,34.67,2004,3,PA,Total Electric Power Industry,Petroleum (Barrels),726157,2.33,2.67723669309172,92.5861,37.9,13.13,6283
39,F001242__3,2004-04-01,34.34,2004,4,PA,Total Electric Power Industry,Petroleum (Barrels),700338,2.26,2.67723669309172,92.93,48.1,13.13,6283
40,F001242__3,2004-05-01,37.79,2004,5,PA,Total Electric Power Industry,Petroleum (Barrels),805173,2.19,2.67723669309172,93.6013,58.7,13.13,6283
41,F001242__3,2004-06-01,36.26,2004,6,PA,Total Electric Power Industry,Petroleum (Barrels),629860,2.11,2.67723669309172,92.871,64.9,13.13,6283
42,F001242__3,2004-07-01,38.26,2004,7,PA,Total Electric Power Industry,Petroleum (Barrels),724230,1.93,2.67723669309172,93.5649,70.0,13.13,6283
43,F001242__3,2004-08-01,42.8,2004,8,PA,Total Electric Power Industry,Petroleum (Barrels),521066,1.82,2.67723669309172,93.6277,69.8,13.13,6283
44,F001242__3,2004-09-01,43.13,2004,9,PA,Total Electric Power Industry,Petroleum (Barrels),173331,1.72,2.67723669309172,93.7467,63.8,13.13,6283
45,F001242__3,2004-10-01,50.43,2004,10,PA,Total Electric Power Industry,Petroleum (Barrels),134742,1.58,2.67723669309172,94.5465,51.7,13.13,6283
46,F001242__3,2004-11-01,47.6,2004,11,PA,Total Electric Power Industry,Petroleum (Barrels),188951,1.5,2.67723669309172,94.7813,42.5,13.13,6283
47,F001242__3,2004-12-01,41.35,2004,12,PA,Total Electric Power Industry,Petroleum (Barrels),1051495,1.37,2.67723669309172,95.5365,33.4,13.13,6283
48,F001242__3,2005-01-01,43.91,2005,1,PA,Total Electric Power Industry,Petroleum (Barrels),1309645,1.13,3.3927468454955,95.8801,26.3,15.66,6542
