,County FIPS,Plant county name,Plant state abbreviation,Plant latitude,Plant longitude,has_plant,Total Population,People of Color (%),Low Income (%),Less Than High School Education (%),Limited English Speaking (%),Unemployment Rate (%),Limited Life Expectancy (%),Plant primary fuel category_x,Plant annual net generation (MWh),Over Age 64 (%),Under Age 5 (%),EPA Region
1,02261,Valdez Cordova,AK,61.084444,-146.353333,1,32,35,13,4,0,5,15,HYDRO,"20,961",19,0,10
2,02188,Northwest Arctic,AK,67.08798,-157.856719,1,238,93,60,19,2,19,23,OIL,"1,239",12,11,10
4,02050,Bethel,AK,61.580678,-159.535643,1,473,85,48,16,0,16,24,OIL,"2,017",9,9,10
6,02110,Juneau,AK,58.3875,-134.6446,1,12811,32,11,6,3,6,17,OIL, (236),13,5,10
7,02090,Fairbanks North Star,AK,64.847743,-147.735063,1,33854,43,27,6,4,6,17,COAL,"143,360",12,7,10
8,02185,North Slope,AK,71.292,-156.7786,1,4805,92,23,14,9,11,18,GAS,"46,662",10,6,10
9,02090,Fairbanks North Star,AK,64.8167,-147.725,1,27852,43,29,5,4,6,16,OTHF," (2,443)",12,8,10
12,02122,Kenai Peninsula,AK,60.6935,-151.3874,1,1597,24,41,7,0,4,18,GAS,0,22,8,10
13,02050,Bethel,AK,60.7897,-161.787778,1,5829,84,27,10,4,9,18,OIL,"43,935",7,9,10
15,02220,Sitka,AK,57.0516,-135.2297,1,1628,40,13,5,0,5,19,HYDRO,"80,294",7,3,10
16,02122,Kenai Peninsula,AK,59.77862,-150.94015,1,3,54,28,6,1,1,19,HYDRO,"395,080",25,5,10
17,02180,Nome,AK,65.331716,-166.479506,1,425,94,63,15,1,24,13,OIL,"1,352",8,9,10
23,02240,Southeast Fairbanks,AK,64.028056,-145.719444,1,768,16,28,3,1,7,19,OIL,103,12,7,10
24,02240,Southeast Fairbanks,AK,64.013889,-145.596667,1,478,17,24,5,4,3,19,WIND,"3,983",11,8,10
25,02070,Dillingham,AK,59.042914,-158.468597,1,1271,76,24,9,1,7,18,OIL,"18,686",8,8,10
26,02016,Aleutians West,AK,53.892459,-166.538185,1,2592,79,24,13,5,4,18,OIL,"43,381",7,4,10
27,02150,Kodiak Island,AK,57.799167,-152.404167,1,9221,61,27,10,8,6,17,OTHF, (217),14,6,10
28,02090,Fairbanks North Star,AK,64.67141,-147.075988,1,3225,34,26,5,2,14,0,COAL,"86,880",1,13,10
29,02020,Anchorage,AK,61.457778,-149.351389,1,245,25,9,3,0,13,17,GAS,"716,969",13,2,10
30,02170,Matanuska Susitna,AK,61.475211,-149.15009,1,219,17,15,13,0,2,17,HYDRO,"197,787",16,6,10
31,02180,Nome,AK,64.616558,-162.263717,1,364,94,63,15,1,24,13,OIL,"1,294",8,9,10
34,02261,Valdez Cordova,AK,60.54047,-145.74079,1,1767,34,10,9,1,12,17,OTHF, (75),16,5,10
35,02090,Fairbanks North Star,AK,64.854171,-147.719351,1,31728,42,27,6,4,7,17,OIL,"6,275",12,7,10
38,02150,Kodiak Island,AK,57.780114,-152.443783,1,6003,63,30,12,11,5,15,OTHF, (395),14,5,10
39,02240,Southeast Fairbanks,AK,63.973572,-145.716581,1,152,55,23,0,0,0,19,OIL,98,9,3,10
41,02180,Nome,AK,63.777058,-171.712439,1,636,94,63,15,1,24,13,OIL,"2,463",8,9,10
42,02020,Anchorage,AK,61.229713,-149.716744,1,50930,60,36,9,4,8,17,GAS,"911,296",10,9,10
43,02261,Valdez Cordova,AK,62.110415,-145.532529,1,419,45,31,8,0,7,19,OIL,"5,685",19,7,10
45,02110,Juneau,AK,58.3107,-134.4174,1,8746,34,20,4,3,4,13,HYDRO,"9,097",20,4,10
46,02220,Sitka,AK,56.986284,-135.12275,1,0,100,0,0,0,0,19,HYDRO,"41,779",0,0,10
48,02290,Yukon Koyukuk,AK,66.566287,-145.253052,1,456,78,40,19,7,21,23,OIL,"2,463",23,4,10
49,02100,Haines,AK,59.235931,-135.446228,1,1762,31,19,3,0,5,15,OIL,242,19,4,10
50,02020,Anchorage,AK,61.2221,-149.8661,1,64279,56,34,9,5,6,21,GAS,"37,067",12,8,10
55,02170,Matanuska Susitna,AK,61.59,-149.79,1,3405,17,34,7,1,10,20,SOLAR,46,13,6,10
56,02261,Valdez Cordova,AK,60.612822,-145.679411,1,535,37,16,2,5,13,17,HYDRO,"2,950",14,8,10
