,County FIPS,Plant state abbreviation,Plant county name,EPA Region,has_plant,Total Population,People of Color (%),Low Income (%),Less Than High School Education (%),Limited English Speaking (%),Unemployment Rate (%),Over Age 64 (%),Under Age 5 (%),Plant latitude,Plant longitude,Limited Life Expectancy (%),Plant primary fuel category_x,Plant annual net generation (MWh)
0,01001,AL,Autauga County,4,0,58239,26.902934459726303,30.77002941685413,10.415509668299086,0.1464128843338213,2.824625323967997,15.135905492882776,5.697213207644362,,,,,
1,01003,AL,Baldwin County,4,0,227131,17.427387718981556,25.847737876052413,8.985843669162906,0.8372519784378942,3.6858279270217142,20.60705055672717,5.298704271984009,,,,,
2,01005,AL,Barbour County,4,0,25259,55.39015796349816,50.31460674157303,24.32898027229786,1.287411971830986,8.624186145799978,19.00708658300012,5.225860089473059,,,,,
3,01007,AL,Bibb County,4,0,22412,25.950383723005533,40.40476190476191,19.461916920969045,0.3247211633488635,9.706818930493029,16.036052114938425,5.336426914153132,,,,,
4,01009,AL,Blount County,4,0,58884,14.07682901976768,33.46535672033332,16.35192288777417,1.5821596244131455,6.023722769206915,17.97432239657632,5.887847292982814,,,,,
5,01011,AL,Bullock County,4,0,10386,79.6264201810129,55.01614856681469,22.39348553148175,4.007019596373208,2.997967479674797,16.194877720007703,5.37261698440208,,,,,
6,01013,AL,Butler County,4,0,19181,49.079818570460354,40.23317435082141,14.435146443514643,0.0,6.545634185500802,20.81226213440384,5.667066367759762,,,,,
7,01015,AL,Calhoun County,4,0,111285,28.99132857078672,38.00114600469493,14.698118359969312,1.2345390352825645,7.002512910821346,17.852361054949004,5.634182504380644,,,,,
8,01017,AL,Chambers County,4,0,30681,41.484958117401646,42.61000622522198,16.74636790089721,0.4102213486026835,3.3916010864266317,19.90482709168541,5.439848766337472,,,,,
9,01019,AL,Cherokee County,4,0,22980,9.177545691906005,39.60134062444875,21.189087266513464,2.345152603231598,5.027101711127644,22.563098346388163,4.647519582245431,,,,,
10,01021,AL,Chilton County,4,0,44857,20.73255010366275,38.65158371040724,18.23868474487457,2.517811858471199,6.397163871104292,16.434447243462557,6.04142051407807,,,,,
11,01023,AL,Choctaw County,4,0,12792,43.55065666041276,41.58533682456558,19.41601120568904,0.0,6.053119209388512,22.795497185741088,5.472170106316447,,,,,
12,01025,AL,Clarke County,4,0,20517,48.46712482331725,43.35553910683444,18.623625399077685,0.0,12.177810982443036,18.623580445484237,6.52629526733928,,,,,
